diam	pitch	short_name	stats_detail_file	front_pic	side_pic
8.5	6.0	ance	ance_8.5x6_static_2848cm.txt
8.5	7.0	ance	ance_8.5x7_static_2875cm.txt
10.0	12.0	ancf	ancf_10x12_static_0754od.txt
10.0	4.0	ancf	ancf_10x4_static_0273od.txt
10.0	5.0	ancf	ancf_10x5_static_0755od.txt
10.0	6.0	ancf	ancf_10x6_static_0729od.txt
10.0	7.0	ancf	ancf_10x7_static_0736od.txt
10.0	8.0	ancf	ancf_10x8_static_0762od.txt
11.0	10.0	ancf	ancf_11x10_static_0837od.txt
11.0	12.0	ancf	ancf_11x12_static_0904od.txt
11.0	4.0	ancf	ancf_11x4_static_0823od.txt
11.0	6.0	ancf	ancf_11x6_static_0874od.txt
11.0	7.0	ancf	ancf_11x7_static_0854od.txt
11.0	8.0	ancf	ancf_11x8_static_0846od.txt
12.0	10.0	ancf	ancf_12x10_static_0720od.txt
12.0	13.0	ancf	ancf_12x13_static_0780od.txt
12.0	5.0	ancf	ancf_12x5_static_0789od.txt
12.0	6.0	ancf	ancf_12x6_static_0721od.txt
12.0	8.0	ancf	ancf_12x8_static_0696od.txt
12.0	9.0	ancf	ancf_12x9_static_0771od.txt
13.0	10.0	ancf	ancf_13x10_static_0592od.txt
13.0	11.0	ancf	ancf_13x11_static_0814od.txt
13.0	5.0	ancf	ancf_13x5_static_0603od.txt
13.0	8.0	ancf	ancf_13x8_static_0581od.txt
14.0	12.0	ancf	ancf_14x12_static_0958od.txt
14.0	6.0	ancf	ancf_14x6_static_0932od.txt
14.0	8.0	ancf	ancf_14x8_static_0942od.txt
14.0	9.0	ancf	ancf_14x9_static_0949od.txt
15.0	10.0	ancf	ancf_15x10_static_0982od.txt
15.0	6.0	ancf	ancf_15x6_static_0967od.txt
15.0	8.0	ancf	ancf_15x8_static_0975od.txt
16.0	6.0	ancf	ancf_16x6_static_0991od.txt
16.0	8.0	ancf	ancf_16x8_static_0997od.txt
9.0	4.0	ancf	ancf_9x4_static_0889od.txt
9.0	5.0	ancf	ancf_9x5_static_0882od.txt
9.0	6.0	ancf	ancf_9x6_static_0875od.txt
9.0	7.0	ancf	ancf_9x7_static_0836od.txt
9.0	4.0	apc29ff	apc29ff_9x4_static_2534rd.txt
9.0	5.0	apc29ff	apc29ff_9x5_static_kt1025.txt
7.4	8.25	apccf	apccf_7.4x8.25_static_2883cm.txt
7.8	6.0	apccf	apccf_7.8x6_static_2825cm.txt
7.8	7.0	apccf	apccf_7.8x7_static_2833cm.txt
10.0	5.0	apce	apce_10x5_static_pg0819.txt
10.0	7.0	apce	apce_10x7_static_pg0811.txt
11.0	10.0	apce	apce_11x10_static_pg0460.txt
11.0	5.5	apce	apce_11x5.5_static_kt0467.txt
11.0	7.0	apce	apce_11x7_static_kt0534.txt
11.0	8.5	apce	apce_11x8.5_static_jb0452.txt
11.0	8.0	apce	apce_11x8_static_kt0517.txt
14.0	12.0	apce	apce_14x12_static_kt1063.txt
17.0	12.0	apce	apce_17x12_static_jb1091.txt
19.0	12.0	apce	apce_19x12_static_jb1078.txt
8.0	4.0	apce	apce_8x4_static_2791rd.txt
8.0	6.0	apce	apce_8x6_static_2797rd.txt
8.0	8.0	apce	apce_8x8_static_2805rd.txt
9.0	4.5	apce	apce_9x4.5_static_rd0995.txt
9.0	6.0	apce	apce_9x6_static_rd0987.txt
9.0	7.5	apce	apce_9x7.5_static_2545rd.txt
9.0	9.0	apce	apce_9x9_static_2492rd.txt
4.2	4.0	apcff	apcff_4.2x4_static_0615rd.txt
9.0	4.0	apcff	apcff_9x4_static_1016rd.txt
10.0	4.7	apcsf	apcsf_10x4.7_static_kt0835.txt
10.0	7.0	apcsf	apcsf_10x7_static_kt0827.txt
11.0	3.8	apcsf	apcsf_11x3.8_static_kt0542.txt
11.0	4.7	apcsf	apcsf_11x4.7_static_pg0526.txt
11.0	7.0	apcsf	apcsf_11x7_static_kt0632.txt
8.0	3.8	apcsf	apcsf_8x3.8_static_2777rd.txt
8.0	6.0	apcsf	apcsf_8x6_static_2783rd.txt
9.0	3.8	apcsf	apcsf_9x3.8_static_2553rd.txt
9.0	4.7	apcsf	apcsf_9x4.7_static_kt1032.txt
9.0	6.0	apcsf	apcsf_9x6_static_kt0979.txt
9.0	7.5	apcsf	apcsf_9x7.5_static_2567rd.txt
10.0	10.0	apcsp	apcsp_10x10_static_2665rd.txt
10.0	3.0	apcsp	apcsp_10x3_static_2643rd.txt
10.0	4.0	apcsp	apcsp_10x4_static_2644rd.txt
10.0	5.0	apcsp	apcsp_10x5_static_2651rd.txt
10.0	6.0	apcsp	apcsp_10x6_static_pg0802.txt
10.0	7.0	apcsp	apcsp_10x7_static_2654rd.txt
10.0	8.0	apcsp	apcsp_10x8_static_pg0794.txt
10.0	9.0	apcsp	apcsp_10x9_static_2664rd.txt
11.0	3.0	apcsp	apcsp_11x3_static_3015ja.txt
11.0	4.0	apcsp	apcsp_11x4_static_kt0503.txt
11.0	5.0	apcsp	apcsp_11x5_static_rd0496.txt
11.0	6.0	apcsp	apcsp_11x6_static_rd0488.txt
11.0	7.0	apcsp	apcsp_11x7_static_kt0473.txt
11.0	8.0	apcsp	apcsp_11x8_static_pg0616.txt
11.0	9.0	apcsp	apcsp_11x9_static_pg0624.txt
14.0	13.0	apcsp	apcsp_14x13_static_jb1048.txt
4.2	2.0	apcsp	apcsp_4.2x2_static_0597rd.txt
7.0	6.0	apcsp	apcsp_7x6_static_2930cm.txt
7.0	9.0	apcsp	apcsp_7x9_static_2897cm.txt
8.0	10.0	apcsp	apcsp_8x10_static_2731rd.txt
8.0	4.0	apcsp	apcsp_8x4_static_2681rd.txt
8.0	5.0	apcsp	apcsp_8x5_static_2687rd.txt
8.0	6.0	apcsp	apcsp_8x6_static_2696rd.txt
8.0	7.0	apcsp	apcsp_8x7_static_2704rd.txt
8.0	8.0	apcsp	apcsp_8x8_static_2712rd.txt
8.0	9.0	apcsp	apcsp_8x9_static_2720rd.txt
9.0	10.0	apcsp	apcsp_9x10_static_2513rd.txt
9.0	6.0	apcsp	apcsp_9x6_static_0758ga.txt
9.0	6.0	apcsp	apcsp_9x6_static_2532rd.txt
9.0	7.0	apcsp	apcsp_9x7_static_kt1009.txt
9.0	8.0	apcsp	apcsp_9x8_static_2530rd.txt
9.0	9.0	apcsp	apcsp_9x9_static_2504rd.txt
5.0	1.58	da4002	da4002_5x1.58_static_1137ga.txt
5.0	2.65	da4002	da4002_5x2.65_static_1126rd.txt
5.0	3.75	da4002	da4002_5x3.75_static_1121md.txt
5.0	4.92	da4002	da4002_5x4.92_static_1190ga.txt
9.0	2.85	da4002	da4002_9x2.85_static_1115ga.txt
9.0	4.76	da4002	da4002_9x4.76_static_1120ga.txt
9.0	6.75	da4002	da4002_9x6.75_static_1107rd.txt
9.0	8.95	da4002	da4002_9x8.95_static_1092rd.txt
5.0	3.75	da4022	da4022_5x3.75_static_0642rb.txt
9.0	6.75	da4022	da4022_9x6.75_static_0767rd.txt
5.0	1.58	da4052	da4052_5x1.58_static_1160rd.txt
5.0	2.65	da4052	da4052_5x2.65_static_1142ga.txt
5.0	3.75	da4052	da4052_5x3.75_3b_static_1204ga.txt
5.0	3.75	da4052	da4052_5x3.75_4b_static_1214rd.txt
5.0	3.75	da4052	da4052_5x3.75_static_1131ga.txt
5.0	4.92	da4052	da4052_5x4.92_static_1175md.txt
9.0	2.85	da4052	da4052_9x2.85_static_1055rd.txt
9.0	4.76	da4052	da4052_9x4.76_static_1060rd.txt
9.0	6.75	da4052	da4052_9x6.75_3b_static_1080ga.txt
9.0	6.75	da4052	da4052_9x6.75_static_1041rd.txt
9.0	8.95	da4052	da4052_9x8.95_static_1066ga.txt
10.0	6.0	grcp	grcp_10x6_static_rd0851.txt
10.0	8.0	grcp	grcp_10x8_static_rd0843.txt
11.0	4.0	grcp	grcp_11x4_static_rd0550.txt
11.0	6.0	grcp	grcp_11x6_static_rd0556.txt
11.0	8.0	grcp	grcp_11x8_static_kt0641.txt
9.0	4.0	grcp	grcp_9x4_static_rd0923.txt
9.0	6.0	grcp	grcp_9x6_static_pg0915.txt
10.0	6.0	grcsp	grcsp_10x6_static_jb0867.txt
10.0	8.0	grcsp	grcsp_10x8_static_jb0859.txt
9.0	5.0	grcsp	grcsp_9x5_static_kt0958.txt
9.0	6.0	grcsp	grcsp_9x6_static_pg0945.txt
10.0	6.0	grsn	grsn_10x6_static_rd0779.txt
10.0	7.0	grsn	grsn_10x7_static_rd0787.txt
11.0	10.0	grsn	grsn_11x10_static_2996os.txt
11.0	6.0	grsn	grsn_11x6_static_rd0665.txt
11.0	7.0	grsn	grsn_11x7_static_2988os.txt
11.0	8.0	grsn	grsn_11x8_static_rd0657.txt
9.0	4.0	grsn	grsn_9x4_static_2575rd.txt
9.0	5.0	grsn	grsn_9x5_static_rd0929.txt
9.0	6.0	grsn	grsn_9x6_static_2577rd.txt
9.0	7.0	grsn	grsn_9x7_static_rd0936.txt
10.0	6.0	gwsdd	gwsdd_10x6_static_jb0712.txt
11.0	7.0	gwsdd	gwsdd_11x7_static_jb0570.txt
2.5	0.8	gwsdd	gwsdd_2.5x0.8_static_0472rd.txt
2.5	0.8	gwsdd	gwsdd_2.5x0.8_static_0500rd.txt
2.5	1.0	gwsdd	gwsdd_2.5x1_static_0456rd.txt
3.0	2.0	gwsdd	gwsdd_3x2_static_0392rd.txt
3.0	3.0	gwsdd	gwsdd_3x3_static_0401rd.txt
4.5	3.0	gwsdd	gwsdd_4.5x3_static_0341rd.txt
4.5	4.0	gwsdd	gwsdd_4.5x4_static_0332rd.txt
4.0	2.5	gwsdd	gwsdd_4x2.5_static_0374rd.txt
4.0	4.0	gwsdd	gwsdd_4x4_static_0437rd.txt
5.0	3.0	gwsdd	gwsdd_5x3_static_0323rd.txt
5.0	4.3	gwsdd	gwsdd_5x4.3_static_0428rd.txt
5.0	4.3	gwsdd	gwsdd_5x4.3_static_0493rd.txt
9.0	5.0	gwsdd	gwsdd_9x5_static_0797rd.txt
9.0	5.0	gwsdd	gwsdd_9x5_static_jb1002.txt
10.0	4.7	gwssf	gwssf_10x4.7_static_jb0875.txt
10.0	8.0	gwssf	gwssf_10x8_static_jb0880.txt
11.0	4.7	gwssf	gwssf_11x4.7_static_jb0563.txt
11.0	8.0	gwssf	gwssf_11x8_static_kt0649.txt
8.0	4.3	gwssf	gwssf_8x4.3_static_2869rd.txt
8.0	6.0	gwssf	gwssf_8x6_static_2862rd.txt
9.0	4.7	gwssf	gwssf_9x4.7_static_kt0965.txt
9.0	7.0	gwssf	gwssf_9x7_static_kt0972.txt
11.0	6.0	kavfk	kavfk_11x6_static_2972rd.txt
11.0	7.75	kavfk	kavfk_11x7.75_static_2979os.txt
9.0	4.0	kavfk	kavfk_9x4_static_2591rd.txt
9.0	6.0	kavfk	kavfk_9x6_static_2592rd.txt
10.0	6.0	kyosho	kyosho_10x6_static_jb0762.txt
10.0	7.0	kyosho	kyosho_10x7_static_rd0770.txt
11.0	7.0	kyosho	kyosho_11x7_static_kt0704.txt
11.0	9.0	kyosho	kyosho_11x9_static_rd0606.txt
9.0	6.0	kyosho	kyosho_9x6_static_jb1039.txt
10.0	7.0	mae	mae_10x7_static_jb0754.txt
11.0	7.0	mae	mae_11x7_static_rd0577.txt
9.0	6.0	mae	mae_9x6_static_kj1017.txt
10.0	6.0	magf	magf_10x6_static_pg0728.txt
10.0	8.0	magf	magf_10x8_static_pg0719.txt
11.0	4.0	magf	magf_11x4_static_3021tg.txt
11.0	5.0	magf	magf_11x5_static_3027tg.txt
11.0	8.0	magf	magf_11x8_static_3033tg.txt
7.0	4.0	magf	magf_7x4_static_2911cm.txt
8.0	4.0	magf	magf_8x4_static_2891rd.txt
9.0	4.0	magf	magf_9x4_static_2586rd.txt
9.0	5.0	magf	magf_9x5_static_2587rd.txt
9.0	7.0	magf	magf_9x7_static_2590rd.txt
10.0	5.0	mas	mas_10x5_static_kt0745.txt
10.0	7.0	mas	mas_10x7_static_kt0737.txt
11.0	6.0	mas	mas_11x6_static_kt0696.txt
11.0	7.0	mas	mas_11x7_static_jb0680.txt
11.0	8.0	mas	mas_11x8_static_rd0672.txt
9.0	5.0	mas	mas_9x5_static_pg0900.txt
9.0	6.0	mas	mas_9x6_static_2634rd.txt
9.0	7.0	mas	mas_9x7_static_pg0907.txt
11.0	10.0	ma	ma_11x10_static_3050rd.txt
11.0	4.0	ma	ma_11x4_static_rd0593.txt
11.0	6.0	ma	ma_11x6_static_kt0689.txt
11.0	7.0	ma	ma_11x7_static_rd0586.txt
11.0	8.0	ma	ma_11x8_static_pg0598.txt
11.0	9.0	ma	ma_11x9_static_3041ja.txt
9.0	4.0	ma	ma_9x4_static_rd0894.txt
9.0	6.0	ma	ma_9x6_static_rd0886.txt
9.0	8.0	ma	ma_9x8_static_2624rd.txt
4.3	3.5	mit	mit_4.3x3.5_static_0575rd.txt
5.0	4.0	mit	mit_5x4_static_0362rd.txt
3.2	2.2	mi	mi_3.2x2.2_static_0519rd.txt
4.0	2.7	mi	mi_4x2.7_static_0564rd.txt
5.0	3.5	mi	mi_5x3.5_static_0368rd.txt
2.56	0.79	pltriturbo	pltriturbo_2.56x0.79_static_0566rd.txt
11.0	4.0	rusp	rusp_11x4_static_2952os.txt
11.0	7.0	zin	zin_11x7_static_3008rd.txt
9.0	6.0	zin	zin_9x6_static_2593rd.txt
